Date,market_value,balance,stock_owned,price,action,amount
2023-01-03,100000.0,100000.0,0,123.76846313476562,buy,0
2023-01-04,100000.0,100000.0,0,125.0450210571289,buy,0
2023-01-05,100000.0,100000.0,0,123.71897888183594,buy,0
2023-01-06,100000.0,100000.0,0,128.2711181640625,sell,0
2023-01-09,100000.0,100000.0,0,128.79559326171875,buy,0
2023-01-10,100000.0,100000.0,0,129.3695526123047,buy,0
2023-01-11,100000.0,100000.0,0,132.10084533691406,sell,0
2023-01-12,100000.0,100000.0,0,132.02166748046875,buy,0
2023-01-13,100000.0,100000.0,0,133.3576202392578,sell,0
2023-01-17,100000.0,100000.0,0,134.52537536621094,buy,0
2023-01-18,100000.0,100000.0,0,133.8029327392578,sell,0
2023-01-19,100000.0,100000.0,0,133.8623046875,sell,0
2023-01-20,100000.0,100000.0,0,136.4352569580078,buy,0
2023-01-23,100000.0,100000.0,0,139.64154052734375,sell,0
2023-01-24,100000.0,100000.0,0,141.0467529296875,sell,0
2023-01-25,100000.0,100000.0,0,140.3837432861328,buy,0
2023-01-26,100000.0,100000.0,0,142.4618682861328,sell,0
2023-01-27,100000.0,100000.0,0,144.41139221191406,buy,0
2023-01-30,100000.0,100000.0,0,141.5118865966797,buy,0
2023-01-31,100000.0,100000.0,0,142.78843688964844,sell,0
2023-02-01,100000.0,100000.0,0,143.91656494140625,buy,0
2023-02-02,100000.0,100000.0,0,149.25050354003906,buy,0
2023-02-03,100000.0,100000.0,0,152.89219665527344,buy,0
2023-02-06,100000.0,100000.0,0,150.15101623535156,sell,0
2023-02-07,100000.0,100000.0,0,153.04063415527344,sell,0
2023-02-08,100000.0,100000.0,0,150.3390655517578,buy,0
2023-02-09,100000.0,100000.0,0,149.2999725341797,sell,0
2023-02-10,100000.0,100000.0,0,149.6667022705078,sell,0
2023-02-13,100000.0,100000.0,0,152.4814453125,sell,0
2023-02-14,100000.0,100000.0,0,151.8372039794922,sell,0
2023-02-15,100000.0,100000.0,0,153.94825744628906,buy,0
2023-02-16,100000.0,100000.0,0,152.3426513671875,buy,0
2023-02-17,100000.0,100000.0,0,151.19300842285156,sell,0
2023-02-21,100000.0,100000.0,0,147.1591796875,buy,0
2023-02-22,100000.0,100000.0,0,147.58535766601562,buy,0
2023-02-23,100000.0,100000.0,0,148.07098388671875,buy,0
2023-02-24,100000.0,100000.0,0,145.40493774414062,sell,0
2023-02-27,100000.0,100000.0,0,146.60414123535156,buy,0
2023-02-28,100000.0,100000.0,0,146.0987091064453,sell,0
2023-03-01,100000.0,100000.0,0,144.01739501953125,buy,0
2023-03-02,100000.0,100000.0,0,144.61204528808594,sell,0
2023-03-03,100000.0,100000.0,0,149.68650817871094,sell,0
2023-03-06,100000.0,100000.0,0,152.4615936279297,sell,0
2023-03-07,100000.0,100000.0,0,150.25144958496094,buy,0
2023-03-08,100000.0,100000.0,0,151.5101318359375,sell,0
2023-03-09,100000.0,100000.0,0,149.25042724609375,buy,670
2023-03-10,100000.0,100000.0,0,147.17901611328125,sell,0
2023-03-13,100000.0,100000.0,0,149.13148498535156,sell,0
2023-03-14,100000.0,100000.0,0,151.2326202392578,sell,0
2023-03-15,100000.0,100000.0,0,151.6290740966797,sell,0
2023-03-16,100000.0,100000.0,0,154.46363830566406,sell,0
2023-03-17,100000.0,100000.0,0,153.62120056152344,sell,0
2023-03-20,100000.0,100000.0,0,155.99984741210938,sell,0
2023-03-21,100000.0,100000.0,0,157.86312866210938,sell,0
2023-03-22,100000.0,100000.0,0,156.42601013183594,sell,0
2023-03-23,100000.0,100000.0,0,157.5162353515625,sell,0
2023-03-24,100000.0,100000.0,0,158.82449340820312,sell,0
2023-03-27,100000.0,100000.0,0,156.87200927734375,sell,0
2023-03-28,100000.0,100000.0,0,156.2476043701172,sell,0
2023-03-29,100000.0,100000.0,0,159.33987426757812,sell,0
2023-03-30,100000.0,100000.0,0,160.9157257080078,buy,0
2023-03-31,100000.0,100000.0,0,163.43313598632812,buy,0
2023-04-03,100000.0,100000.0,0,164.6918182373047,sell,0
2023-04-04,100000.0,100000.0,0,164.15663146972656,sell,0
2023-04-05,100000.0,100000.0,0,162.30325317382812,buy,0
2023-04-06,100000.0,100000.0,0,163.1952667236328,sell,0
2023-04-10,100000.0,100000.0,0,160.58865356445312,sell,0
2023-04-11,100000.0,100000.0,0,159.36959838867188,sell,0
2023-04-12,100000.0,100000.0,0,158.6758270263672,buy,0
2023-04-13,100000.0,100000.0,0,164.08726501464844,sell,0
2023-04-14,100000.0,100000.0,0,163.74037170410156,buy,0
2023-04-17,99791.20577354432,58851.161370468144,250,163.7601776123047,buy,250
2023-04-18,100098.45293540956,58851.161370468144,250,164.98916625976562,sell,0
2023-04-19,100385.87511558534,58851.161370468144,250,166.13885498046875,sell,0
2023-04-20,100143.05056114198,58851.161370468144,250,165.1675567626953,buy,0
2023-04-21,99739.16948814393,58851.161370468144,250,163.55203247070312,buy,0
2023-04-24,99815.98604698182,58851.161370468144,250,163.8592987060547,buy,0
2023-04-25,99429.4580318451,58851.161370468144,250,162.3131866455078,sell,0
2023-04-26,99426.97466392518,58851.161370468144,250,162.30325317382812,buy,0
2023-04-27,100579.13530845643,58851.161370468144,250,166.91189575195312,sell,0
2023-04-28,100893.80968589784,58851.161370468144,250,168.17059326171875,sell,0
2023-05-01,100871.51278038026,58851.161370468144,250,168.08140563964844,sell,0
2023-05-02,100611.34661216737,58851.161370468144,250,167.04074096679688,sell,0
2023-05-03,100341.27367515565,58851.161370468144,250,165.96044921875,sell,0
2023-05-04,99929.9577571869,58851.161370468144,250,164.315185546875,sell,0
2023-05-05,101857.65779991151,58851.161370468144,250,172.02598571777344,sell,0
2023-05-08,101840.31618614198,58851.161370468144,250,171.9566192626953,buy,0
2023-05-09,101411.66628379823,58851.161370468144,250,170.2420196533203,buy,0
2023-05-10,101855.17824668885,58851.161370468144,250,172.0160675048828,buy,0
2023-05-11,101902.2592403412,58851.161370468144,250,172.2043914794922,sell,0
2023-05-12,101669.03246421815,58851.161370468144,250,171.271484375,buy,0
2023-05-15,101381.23158151552,90793.16682321473,62,170.77523803710938,sell,188
2023-05-16,101381.23158151552,90793.16682321473,62,170.77523803710938,buy,0
2023-05-17,101419.38178903505,90793.16682321473,62,171.39056396484375,buy,0
2023-05-18,101564.60063058778,90793.16682321473,62,173.73280334472656,buy,0
2023-05-19,101571.3695820038,90793.16682321473,62,173.84197998046875,sell,0
2023-05-22,101512.29664499208,90793.16682321473,62,172.88919067382812,sell,0
2023-05-23,101349.850325412,90793.16682321473,62,170.2690887451172,buy,0
2023-05-24,101367.07780343934,90793.16682321473,62,170.5469512939453,buy,0
2023-05-25,101437.84290964052,90793.16682321473,62,171.68832397460938,sell,0
