Date,market_value,balance,stock_owned,price,action,amount
2023-01-03,100000.0,100000.0,0,130.14768981933594,buy,768
2023-01-04,100000.0,100000.0,0,131.11312866210938,buy,0
2023-01-05,100000.0,100000.0,0,129.7431182861328,sell,0
2023-01-06,100000.0,100000.0,0,132.12451171875,sell,0
2023-01-09,100000.0,100000.0,0,131.98658752441406,sell,0
2023-01-10,100000.0,100000.0,0,133.1359100341797,buy,0
2023-01-11,100000.0,100000.0,0,133.55885314941406,buy,0
2023-01-12,100000.0,100000.0,0,133.8254852294922,buy,0
2023-01-13,100000.0,100000.0,0,134.13809204101562,buy,0
2023-01-17,100000.0,100000.0,0,133.49447631835938,buy,0
2023-01-18,100000.0,100000.0,0,129.0995330810547,sell,0
2023-01-19,100000.0,100000.0,0,129.29261779785156,sell,0
2023-01-20,100000.0,100000.0,0,129.82589721679688,buy,0
2023-01-23,100000.0,100000.0,0,130.4327392578125,buy,0
2023-01-24,100000.0,100000.0,0,130.092529296875,sell,0
2023-01-25,99657.4346930481,32487.76666326294,519,129.42132568359375,buy,519
2023-01-26,96646.35406560669,32487.76666326294,519,123.61962890625,buy,0
2023-01-27,96617.7217947937,32487.76666326294,519,123.56446075439453,buy,0
2023-01-30,97051.95744390259,32487.76666326294,519,124.40113830566406,sell,0
2023-01-31,96779.9607703186,32487.76666326294,519,123.87705993652344,buy,0
2023-02-01,96951.75043554077,32487.76666326294,519,124.20806121826172,sell,0
2023-02-02,97572.10574407349,32487.76666326294,519,125.40335083007812,sell,0
2023-02-03,97834.55964727173,32487.76666326294,519,125.90904235839844,buy,0
2023-02-06,97471.89477605591,32487.76666326294,519,125.21026611328125,sell,0
2023-02-07,97309.64788121948,32487.76666326294,519,124.89765167236328,buy,0
2023-02-08,97305.67380711061,18539.0624789856,630,125.0263671875,buy,111
2023-02-09,96965.58378025514,18539.0624789856,630,124.48654174804688,sell,0
2023-02-10,98050.36695286256,18539.0624789856,630,126.20841979980469,buy,147
2023-02-13,99076.50579258424,18539.0624789856,630,127.83721160888672,buy,0
2023-02-14,98290.77459141237,18539.0624789856,630,126.59001922607422,buy,0
2023-02-15,98519.46393772584,18539.0624789856,630,126.95301818847656,sell,0
2023-02-16,97698.55863377076,18539.0624789856,630,125.64999389648438,sell,0
2023-02-17,97710.27211948854,18539.0624789856,630,125.66858673095703,sell,0
2023-02-21,95769.39512058717,18539.0624789856,630,122.58782958984375,buy,0
2023-02-22,95335.49627109987,18539.0624789856,630,121.89910125732422,buy,0
2023-02-23,95229.94031712037,18539.0624789856,630,121.73155212402344,sell,0
2023-02-24,95100.94777866823,18539.0624789856,630,121.52680206298828,buy,0
2023-02-27,95054.03135105592,18539.0624789856,630,121.45233154296875,buy,0
2023-02-28,94356.25943943483,18539.0624789856,630,120.34475708007812,buy,0
2023-03-01,93705.38953587037,18539.0624789856,630,119.31163024902344,buy,0
2023-03-02,94139.29799839479,18539.0624789856,630,120.00037384033203,sell,0
2023-03-03,94555.61460300905,18539.0624789856,630,120.66119384765625,buy,154
2023-03-06,94878.12238499147,18539.0624789856,630,121.17311096191406,buy,0
2023-03-07,93740.57805820924,18539.0624789856,630,119.36748504638672,buy,0
2023-03-08,93623.30381199342,18539.0624789856,630,119.18133544921875,buy,0
2023-03-09,92515.06482883912,18539.0624789856,630,117.42222595214844,sell,0
2023-03-10,92098.74341770631,18539.0624789856,630,116.76139831542969,sell,0
2023-03-13,92174.97480198366,18539.0624789856,630,116.88240051269531,sell,0
2023-03-14,91629.65123936158,18539.0624789856,630,116.01680755615234,sell,0
2023-03-15,90826.32818027955,18539.0624789856,630,114.74169158935547,buy,0
2023-03-16,91658.96619602662,18539.0624789856,630,116.06333923339844,buy,160
2023-03-17,91066.74062534791,18539.0624789856,630,115.12329864501953,sell,0
2023-03-20,92386.06748386842,18539.0624789856,630,117.21746826171875,buy,0
2023-03-21,92676.7677316536,3028.0566186775286,761,117.80382537841797,buy,131
2023-03-22,90891.87344454422,3028.0566186775286,761,115.45836639404297,sell,0
2023-03-23,90395.00179914934,27.36894087296332,787,114.82545471191406,buy,26
2023-03-24,91801.39082960588,27.36894087296332,787,116.61248016357422,buy,0
2023-03-27,94746.01204542619,27.36894087296332,787,120.35405731201172,buy,0
2023-03-28,94767.99391035539,27.36894087296332,787,120.38198852539062,buy,0
2023-03-29,95039.01151136858,27.36894087296332,787,120.72635650634766,buy,0
2023-03-30,94680.10247663957,27.36894087296332,787,120.27030944824219,buy,0
2023-03-31,96049.84705976945,27.36894087296332,787,122.01077270507812,buy,0
2023-04-03,96760.36986402971,27.36894087296332,787,122.9135971069336,buy,0
2023-04-04,96423.43068556291,27.36894087296332,787,122.48546600341797,sell,0
2023-04-05,96818.96015028459,27.36894087296332,787,122.98804473876953,buy,0
2023-04-06,95617.6851563881,27.36894087296332,787,121.4616470336914,sell,0
2023-04-10,96005.90734724504,27.36894087296332,787,121.95494079589844,buy,0
2023-04-11,95559.08286146623,27.36894087296332,787,121.3871841430664,buy,0
2023-04-12,94181.97696547014,27.36894087296332,787,119.63736724853516,buy,0
2023-04-13,93713.19463209611,27.36894087296332,787,119.04170989990234,sell,0
2023-04-14,93888.98950819475,27.36894087296332,787,119.26508331298828,buy,0
2023-04-17,93654.59233717424,27.36894087296332,787,118.96724700927734,sell,0
2023-04-18,93625.3031983803,27.36894087296332,787,118.9300308227539,sell,0
